id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
be6faae0,Álvaro Aceves,es ESP,GK,Valladolid,19-236,2003,1,0,13,0.1,0,0.00,3,3,100.0,0,0,0,0,,0,0,0,0,,Matches
a2c1a8d3,Julen Agirrezabala,es ESP,GK,Athletic Club,22-083,2000,5,4,405,4.5,3,0.67,13,10,76.9,1,1,2,1,25.0,0,0,0,0,,Matches
9f0ea33f,Sergio Asenjo,es ESP,GK,Valladolid,33-264,1989,9,9,810,9.0,15,1.67,34,19,58.8,2,2,5,1,11.1,1,1,0,0,0.0,Matches
e4346678,Édgar Badía,es ESP,GK,Elche,31-035,1992,25,25,2250,25.0,49,1.96,149,98,71.8,2,7,16,1,4.0,10,7,3,0,30.0,Matches
f6798fc3,Yassine Bounou,ma MAR,GK,Sevilla,31-348,1991,23,23,1971,21.9,37,1.69,99,63,64.6,7,6,10,4,17.4,3,2,1,0,33.3,Matches
10072610,Claudio Bravo,cl CHI,GK,Betis,39-340,1983,6,6,540,6.0,5,0.83,20,15,80.0,2,3,1,2,33.3,1,1,0,0,0.0,Matches
688b96e3,Juan Carlos,es ESP,GK,Girona,35-058,1988,10,10,900,10.0,18,1.80,43,25,62.8,2,2,6,0,0.0,2,2,0,0,0.0,Matches
1840e36d,Thibaut Courtois,be BEL,GK,Real Madrid,30-312,1992,19,19,1710,19.0,16,0.84,65,49,81.5,13,4,2,6,31.6,4,4,0,0,0.0,Matches
fc70e345,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,29-084,1993,25,25,2250,25.0,27,1.08,91,67,73.6,9,9,7,9,36.0,4,3,0,1,0.0,Matches
ac295d9e,Marko Dmitrović,rs SRB,GK,Sevilla,31-054,1992,4,2,279,3.1,3,0.97,17,14,82.4,0,1,1,0,0.0,0,0,0,0,,Matches
a01c3d54,Aitor Fernández,es ESP,GK,Osasuna,31-320,1991,13,13,1170,13.0,10,0.77,45,35,77.8,5,5,3,6,46.2,0,0,0,0,,Matches
f127d782,Álvaro Fernández,es ESP,GK,Espanyol,24-340,1998,11,11,990,11.0,18,1.64,50,33,64.0,3,4,4,2,18.2,0,0,0,0,,Matches
dabb2827,Fernando,es ESP,GK,Almería,32-282,1990,25,25,2205,24.5,41,1.67,135,94,71.9,7,5,13,2,8.0,5,3,1,1,25.0,Matches
63d17038,Paulo Gazzaniga,ar ARG,GK,Girona,31-076,1992,16,16,1440,16.0,23,1.44,68,44,69.1,6,5,5,1,6.3,4,2,1,1,33.3,Matches
fea23125,David Gil,es ESP,GK,Cádiz,29-067,1994,1,1,90,1.0,1,1.00,5,4,100.0,0,1,0,0,0.0,1,1,0,0,0.0,Matches
3f034750,Ivo Grbić,hr CRO,GK,Atlético Madrid,27-060,1996,4,2,208,2.3,2,0.87,9,7,88.9,1,1,0,1,50.0,1,1,0,0,0.0,Matches
a4995f48,Sergio Herrera,es ESP,GK,Osasuna,29-287,1993,12,12,1080,12.0,14,1.17,46,31,71.7,4,2,6,2,16.7,4,1,1,2,50.0,Matches
0107757e,Filip Jörgensen,dk DEN,GK,Villarreal,20-337,2002,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
2fa2a875,Benjamin Lecomte,fr FRA,GK,Espanyol,31-327,1991,10,10,899,10.0,14,1.40,40,27,65.0,1,5,4,1,10.0,0,0,0,0,,Matches
6c4776b1,Jeremías Ledesma,ar ARG,GK,Cádiz,30-034,1993,25,25,2250,25.0,37,1.48,138,100,78.3,6,9,10,9,36.0,8,7,1,0,12.5,Matches
73683fa9,Diego López,es ESP,GK,Rayo Vallecano,41-136,1981,1,1,90,1.0,3,3.00,4,1,25.0,0,0,1,0,0.0,0,0,0,0,,Matches
3061e1ec,Andriy Lunin,ua UKR,GK,Real Madrid,24-036,1999,6,6,540,6.0,3,0.50,13,11,76.9,4,1,1,3,50.0,0,0,0,0,,Matches
