id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
004d185e,18,945,10,10,3,8,4,0,8,19,-11,8.9,20.6,-11.7,0,0,0,0
0076ab7f,21,1784,19,20,19,1,1,1,21,34,-13,23.0,32.1,-9.2,0,0,0,0
00b28772,16,1009,11,13,3,3,7,1,13,16,-3,6.5,11.1,-4.6,0,0,0,0
00eba9c9,2,54,0,0,0,2,2,0,0,1,-1,0.2,1.1,-1.0,0,0,0,0
0107757e,1,90,1,1,1,0,12,0,0,1,-1,0.8,1.0,-0.2,90,1,1,1
014aa7bd,22,1209,13,12,8,10,2,1,12,21,-9,12.8,23.4,-10.6,0,0,0,0
01a49bd2,6,314,3,4,2,2,1,0,5,5,0,5.6,10.1,-4.5,0,0,0,0
01eb744d,22,922,10,9,1,13,1,1,14,7,7,18.8,11.5,7.4,0,0,0,0
022c1bf7,0,0,0,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0,0,0,0
02319ad7,9,47,0,0,0,9,15,1,4,3,1,0.4,0.9,-0.5,0,0,0,0
02c15616,17,1304,14,16,9,1,1,1,20,9,11,23.4,14.4,9.0,0,0,0,0
02d2c436,23,2069,23,23,22,0,1,1,19,35,-16,18.6,34.4,-15.8,0,0,0,0
02ef8778,6,159,1,1,0,5,1,1,0,0,0,2.8,1.2,1.6,0,0,0,0
02f00dd1,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
03049c8c,11,330,3,3,0,8,2,1,3,7,-4,4.3,4.0,0.3,0,0,0,0
031e0283,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
036bba5f,20,1259,14,14,4,6,0,1,14,16,-2,11.3,19.1,-7.8,0,0,0,0
04965583,18,871,9,10,1,8,1,1,13,15,-2,11.7,10.4,1.3,0,0,0,0
04e17fd5,20,923,10,10,2,10,3,1,14,17,-3,14.6,16.5,-1.9,0,0,0,0
04e531b6,2,29,0,0,0,2,15,1,0,0,0,0.6,0.9,-0.3,0,0,0,0
05439de2,19,1545,17,17,14,2,0,2,40,15,25,37.7,17.9,19.8,0,0,0,0
056269d7,18,1144,12,12,8,6,4,1,12,19,-7,16.0,14.1,1.9,0,0,0,0
05e19d6a,16,565,6,4,0,12,5,2,10,2,8,11.9,6.3,5.7,0,0,0,0
068f4dec,6,106,1,1,0,5,14,1,1,2,-1,0.9,2.3,-1.4,0,0,0,0
06efa9dc,24,2104,23,24,22,0,0,1,27,40,-13,27.1,38.3,-11.2,0,0,0,0
070a3904,24,2133,23,24,21,0,0,1,30,34,-4,28.1,29.8,-1.7,0,0,0,0
075fe5a3,21,1845,20,20,20,1,3,1,24,37,-13,24.0,31.8,-7.9,0,0,0,0
0959c2a2,24,1866,20,21,14,3,0,2,39,16,23,40.6,18.0,22.6,0,0,0,0
0a0cc13c,21,1014,11,12,2,9,1,1,11,15,-4,10.4,17.9,-7.5,0,0,0,0
0a69de7b,6,368,4,4,2,2,10,1,6,5,1,4.3,7.2,-2.9,0,0,0,0
0abc51f2,6,356,4,4,3,2,18,1,2,4,-2,3.6,6.2,-2.6,0,0,0,0
0ae4e09a,19,1094,12,14,1,5,6,1,7,18,-11,8.4,18.7,-10.3,0,0,0,0
