,id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
0,005ca692,6,451,5,5,4,1,0,1,7,12,-5,6.4,11.3,-5.0,449,5,5,5
1,00672021,5,206,2,2,0,3,1,1,4,7,-3,3.3,4.6,-1.3,1170,13,13,13
2,012c38ec,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,270,3,3,3
3,0174ba21,1,6,0,0,0,1,0,0,0,0,0,0.1,0.1,-0.1,90,1,1,1
4,0193a8bf,6,201,2,2,0,4,0,1,3,5,-2,3.2,4.5,-1.2,360,4,4,4
5,01a49bd2,2,10,0,0,0,2,2,1,0,1,-1,0.3,0.2,0.1,540,6,6,6
6,01b8a2b2,10,900,10,10,10,0,0,1,14,9,5,18.9,10.1,8.8,540,6,6,6
7,01c3aff5,6,373,4,4,2,2,1,1,5,7,-2,4.6,7.1,-2.5,405,5,5,4
8,01e5f06e,1,1,0,0,0,1,0,3,0,0,0,0.0,0.0,0.0,540,6,6,6
9,01eb744d,8,355,3,3,0,5,0,2,10,5,5,5.0,5.6,-0.6,450,5,5,5
10,02c15616,2,147,1,2,1,0,2,1,2,2,0,2.7,2.9,-0.1,630,7,7,7
11,032f894e,6,130,1,1,1,5,2,1,4,2,2,3.1,2.1,1.0,930,10,10,10
12,0331786b,2,120,1,0,0,2,0,1,4,1,3,2.0,1.8,0.2,90,1,1,1
13,0375723e,1,23,0,0,0,1,0,3,1,0,1,1.5,0.0,1.5,450,5,5,5
14,03bd0bf4,4,360,4,4,4,0,1,1,4,4,0,5.0,5.3,-0.3,90,1,1,1
15,03df04ff,6,540,6,6,6,0,0,1,6,11,-5,6.2,10.7,-4.5,900,10,10,10
16,042d286e,6,505,5,6,2,0,0,1,7,8,-1,5.8,9.8,-4.0,540,6,6,6
17,042e8a49,3,130,1,1,0,2,0,0,2,4,-2,1.5,4.3,-2.8,90,1,1,1
18,048a1cbc,6,285,3,3,0,3,1,1,5,2,3,6.6,2.7,3.9,810,9,9,9
19,04ac8285,1,90,1,1,1,0,9,1,1,1,0,1.3,2.4,-1.1,56,1,0,0
20,0534149c,2,2,0,0,0,2,4,1,0,0,0,0.0,0.2,-0.2,540,6,6,6
21,05439de2,7,630,7,7,7,0,1,1,14,8,6,12.4,9.0,3.4,90,1,1,1
22,05a84d52,9,840,9,9,9,0,0,2,19,13,6,16.3,17.9,-1.6,270,3,3,3
23,05d548d8,6,539,6,6,5,0,1,1,8,4,4,9.6,5.9,3.8,360,4,4,4
24,061e8e23,2,85,0,1,0,1,4,3,2,0,2,2.8,0.7,2.1,180,2,2,2
25,0670ee51,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,1,0,0
26,06df8256,2,180,2,2,2,0,0,0,0,4,-4,1.9,3.5,-1.6,270,3,3,3
27,075fe5a3,3,225,2,2,2,1,3,0,2,9,-7,1.4,10.3,-8.8,978,11,11,10
28,07750704,3,134,1,1,1,2,3,2,2,2,0,1.8,2.2,-0.4,664,8,8,7
29,07ab6542,1,81,0,1,0,0,1,0,0,0,0,0.4,0.8,-0.4,540,6,6,6
30,08511d65,5,418,4,5,4,0,0,3,13,2,11,10.7,6.6,4.0,180,2,2,2
31,089550f5,6,518,5,6,5,0,0,1,5,7,-2,7.7,7.7,0.0,540,6,6,6
32,08aa17d0,3,251,2,3,2,0,0,1,1,2,-1,3.7,2.2,1.5,270,3,3,3
33,091c86e2,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,450,5,5,5
34,09586899,4,312,3,4,2,0,0,2,9,2,7,7.0,2.1,4.9,720,8,8,8
35,0959c2a2,4,142,1,1,1,3,1,1,1,4,-3,2.6,1.2,1.4,180,2,2,2
36,099b9c78,1,1,0,0,0,1,2,3,0,0,0,0.0,0.0,0.0,720,8,8,8
37,0a6dbbf7,5,450,5,5,5,0,1,1,6,4,2,4.9,5.4,-0.5,570,6,6,6
38,0a89e877,4,297,3,3,3,1,2,0,1,7,-6,2.0,7.9,-5.9,1080,12,12,12
39,0ab1f153,5,326,3,4,1,1,1,1,6,2,4,7.9,1.1,6.8,540,6,6,6
40,0ac94a23,3,108,1,1,0,2,0,1,2,0,2,3.0,0.9,2.1,90,1,1,1
41,0acf0e1c,5,207,2,3,0,2,1,0,2,9,-7,1.1,8.0,-6.9,540,6,6,6
42,0aeeed3f,6,381,4,5,0,1,0,1,4,11,-7,5.0,8.8,-3.8,90,1,1,1
43,0b4f388a,5,381,4,5,1,0,0,1,3,4,-1,5.2,5.9,-0.8,45,1,0,0
44,0b5a292a,6,519,5,6,5,0,0,1,7,5,2,9.9,4.3,5.6,900,10,10,10
45,0b90bb97,4,221,2,3,0,1,0,1,5,2,3,4.7,3.0,1.8,990,11,11,11
46,0c2ac3cb,2,79,0,1,0,1,2,3,2,0,2,2.2,1.0,1.2,540,6,6,6
47,0d10333c,4,221,2,2,2,2,1,0,2,7,-5,2.2,4.1,-1.9,99,2,1,1
48,0d267745,5,400,4,5,3,0,4,2,7,5,2,10.2,5.5,4.6,180,2,2,2
49,0d82903c,9,743,8,8,7,1,0,1,10,9,1,14.9,9.5,5.4,540,6,6,6
50,0dabaf14,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
51,0e100630,5,402,4,5,3,0,1,0,3,4,-1,5.8,7.2,-1.4,0,0,0,0
52,0e21fc3c,6,234,2,2,1,4,0,1,3,4,-1,4.8,3.8,1.0,0,0,0,0
53,0e61c46b,2,180,2,2,2,0,4,2,3,2,1,3.1,3.1,0.0,0,0,0,0
54,0e6bc38c,4,53,0,0,0,4,4,1,2,1,1,1.4,0.3,1.1,0,0,0,0
55,0ef89a37,12,852,9,11,2,1,0,2,18,8,10,16.5,11.0,5.5,0,0,0,0
56,0f5e0b8a,5,450,5,5,5,0,0,0,5,15,-10,5.8,11.1,-5.3,0,0,0,0
57,0f888175,2,96,1,1,1,1,4,1,0,3,-3,0.2,3.6,-3.4,0,0,0,0
58,101da2b5,8,643,7,7,6,1,0,2,15,9,6,13.8,8.2,5.6,0,0,0,0
59,106bca06,4,299,3,3,3,1,1,1,5,2,3,5.3,4.5,0.8,0,0,0,0
60,111c3236,6,261,2,2,2,4,0,1,6,4,2,4.5,2.5,2.0,0,0,0,0
61,119b9a8e,10,881,9,10,9,0,0,2,28,12,16,22.0,10.1,11.9,0,0,0,0
62,11b9265b,1,9,0,0,0,1,5,3,0,0,0,0.5,0.1,0.4,0,0,0,0
63,11fd2b75,3,225,2,3,2,0,0,2,2,3,-1,3.3,2.8,0.5,0,0,0,0
64,129af0db,2,123,1,1,1,1,0,1,2,3,-1,1.0,2.8,-1.9,0,0,0,0
65,12c50af5,2,26,0,0,0,2,1,2,0,2,-2,0.7,1.4,-0.6,0,0,0,0
66,12e6d21a,4,140,1,1,0,3,2,0,0,0,0,1.1,1.6,-0.5,0,0,0,0
67,13ac19de,4,290,3,4,2,0,0,0,1,9,-8,3.9,5.1,-1.3,0,0,0,0
68,13c44fc5,1,18,0,0,0,1,0,3,0,0,0,0.0,0.1,-0.1,0,0,0,0
69,1432d037,6,61,0,0,0,6,0,1,1,2,-1,0.5,1.2,-0.7,0,0,0,0
70,1453e3cf,1,5,0,0,0,1,1,0,0,0,0,0.0,0.3,-0.3,0,0,0,0
71,1467af0d,7,598,6,7,4,0,0,2,16,9,7,15.6,7.9,7.7,0,0,0,0
72,149895bf,6,511,5,6,4,0,0,0,4,8,-4,9.1,9.1,-0.1,0,0,0,0
73,14af7b90,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
74,14b8fcdf,4,272,3,3,3,1,4,1,3,5,-2,3.7,5.8,-2.0,0,0,0,0
75,14e8e9d7,1,25,0,0,0,1,3,2,0,3,-3,0.1,0.6,-0.5,0,0,0,0
76,15eb04ec,6,484,5,6,2,0,0,1,8,8,0,6.4,10.1,-3.7,0,0,0,0
77,163bbd4a,3,244,2,3,0,0,2,2,3,7,-4,3.9,4.8,-0.9,0,0,0,0
78,16657b95,7,517,5,5,5,2,1,1,10,7,3,11.7,7.3,4.4,0,0,0,0
79,16b9d5cf,5,435,4,5,4,0,1,1,7,5,2,9.2,5.9,3.3,0,0,0,0
80,1840e36d,5,450,5,5,5,0,3,1,10,8,2,8.6,8.2,0.4,0,0,0,0
81,1880614f,6,436,4,5,3,1,0,1,8,7,1,8.8,8.1,0.8,0,0,0,0
82,19053e31,4,269,3,2,2,2,2,0,1,7,-6,3.4,5.5,-2.1,0,0,0,0
83,1971591f,1,8,0,0,0,1,0,1,1,0,1,0.4,0.0,0.4,0,0,0,0
84,19cda00b,8,656,7,8,3,0,0,1,18,11,7,15.4,10.0,5.4,0,0,0,0
85,19e4dca5,5,435,4,5,4,0,0,0,3,8,-5,6.0,7.5,-1.5,0,0,0,0
86,19e4eab9,6,540,6,6,6,0,0,1,8,9,-1,6.9,11.6,-4.8,0,0,0,0
87,1a2935f6,3,181,2,2,2,1,6,2,3,2,1,4.2,2.7,1.5,0,0,0,0
88,1a6b7ea4,6,531,5,6,5,0,0,1,6,12,-6,7.0,13.5,-6.5,0,0,0,0
89,1a6f2a66,1,22,0,0,0,1,0,0,0,0,0,0.1,0.0,0.1,0,0,0,0
90,1a992676,7,287,3,3,2,4,1,1,7,5,2,6.5,4.7,1.8,0,0,0,0
91,1adcf39e,5,450,5,5,5,0,0,1,6,14,-8,6.3,11.4,-5.0,0,0,0,0
92,1b7ec703,7,211,2,2,1,5,5,1,3,4,-1,5.4,1.8,3.7,0,0,0,0
93,1bacc518,11,985,10,11,10,0,0,2,21,12,9,21.0,15.9,5.1,0,0,0,0
94,1bebde9d,2,100,1,1,1,1,2,0,1,3,-2,0.8,1.7,-0.8,0,0,0,0
95,1bf33a9a,7,453,5,5,2,2,0,1,5,4,1,6.3,4.1,2.2,0,0,0,0
