,id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
0,007414dd,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,3240,36,36,36
1,00f0482f,1,16,0,0,0,1,1,0,0,0,0,0.1,0.0,0.1,90,1,1,1
2,01226327,4,337,3,4,3,0,5,0,5,7,-2,5.4,6.5,-1.0,360,4,4,4
3,012c975a,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1080,12,12,12
4,01962d0d,20,746,8,5,2,15,11,0,11,25,-14,13.0,20.0,-7.1,270,3,3,3
5,02aed921,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,765,9,8,8
6,02b29014,30,2537,28,29,27,1,1,1,33,47,-14,29.6,39.3,-9.7,180,2,2,2
7,0313a347,29,2477,27,29,24,0,3,1,36,41,-5,30.3,35.3,-5.0,720,8,8,8
8,0420d84f,30,2656,29,30,28,0,4,1,34,50,-16,30.7,41.7,-11.0,2340,26,26,26
9,0442183b,16,1351,15,15,15,1,17,1,19,12,7,18.3,13.7,4.6,3330,37,37,37
10,0562b7f1,28,1564,17,18,6,10,7,1,25,19,6,22.5,19.2,3.3,3330,37,37,37
11,05e8ca6d,3,27,0,0,0,3,9,1,1,0,1,0.2,0.8,-0.6,1080,12,12,12
12,06791660,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1710,19,19,19
13,0745b37d,37,3253,36,37,29,0,0,0,22,79,-57,29.8,72.1,-42.4,2340,26,26,26
14,076bb352,1,10,0,0,0,1,10,0,0,1,-1,0.0,0.4,-0.4,3420,38,38,38
15,07802f7f,30,1898,21,22,7,8,3,1,29,26,3,26.3,24.3,2.0,2655,30,30,29
16,08288a57,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,810,9,9,9
17,099e666f,15,1018,11,11,9,4,22,0,10,24,-14,12.1,21.5,-9.4,180,2,2,2
18,0b33f6ad,34,2972,33,33,32,1,2,1,42,57,-15,41.2,49.8,-8.6,180,2,2,2
19,0d4ceb32,22,679,7,5,1,17,0,1,7,7,0,8.8,10.2,-1.5,36,1,0,0
20,0d85a4e8,0,0,0,0,0,0,7,0,0,0,0,0.0,0.0,0.0,2610,29,29,29
21,0db5d2c8,8,518,5,6,5,2,6,1,8,10,-2,7.3,7.5,-0.2,360,4,4,4
22,0ef89a37,19,1329,14,16,5,3,0,1,21,17,4,19.6,18.3,1.3,3420,38,38,38
23,0f134faf,31,1601,17,19,8,12,4,1,15,30,-15,21.5,24.7,-3.2,180,2,2,2
24,0f933743,5,427,4,5,4,0,11,0,1,9,-8,3.0,10.2,-7.2,3240,36,36,36
25,1000a059,1,4,0,0,0,1,8,0,0,0,0,0.0,0.0,0.0,1530,17,17,17
26,101da2b5,19,964,10,10,7,9,19,2,34,12,22,25.8,10.4,15.4,3060,34,34,34
27,111c3236,11,662,7,8,2,3,5,1,6,6,0,6.1,8.9,-2.9,3384,38,38,37
28,112c495e,18,1169,13,14,10,4,19,0,5,27,-22,11.8,23.8,-12.0,90,1,1,1
29,1137759d,31,2083,23,25,9,6,2,1,25,35,-10,25.2,29.0,-3.8,3150,35,35,35
30,1148323a,0,0,0,0,0,0,9,0,0,0,0,0.0,0.0,0.0,3240,36,36,36
31,119b9a8e,33,2828,31,33,27,0,2,2,87,23,64,74.7,19.8,54.9,3060,34,34,34
32,11ff3d56,23,1023,11,10,7,13,12,1,13,21,-8,13.3,17.4,-4.1,2160,24,24,24
33,1265a93a,26,1864,20,22,17,4,1,1,41,21,20,38.4,16.3,22.1,135,2,1,1
34,132a82f1,7,630,7,7,7,0,2,1,13,7,6,9.4,8.8,0.6,3285,37,37,36
35,1544f145,34,2467,27,29,14,5,1,1,39,35,4,32.9,32.2,0.7,3329,37,37,37
36,1598599e,14,1032,11,12,7,2,3,1,19,15,4,11.4,15.6,-4.2,3330,37,37,37
37,15ea812b,35,3106,34,35,34,0,0,0,30,51,-21,37.0,52.7,-15.7,90,1,1,1
38,15f3ec41,15,962,10,11,3,4,7,1,24,8,16,18.8,8.2,10.6,90,1,1,1
