id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
00672021,6,3,3,2,1,3,17,14,5,0,5,6,12,2,0
0127419a,2,1,0,1,1,0,4,4,3,0,3,1,3,0,0
016ff750,2,2,2,0,0,1,4,3,2,0,2,1,3,3,0
01b8a2b2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
01eb744d,11,3,4,4,3,5,14,9,5,1,4,5,16,4,0
028e70b9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
02c15616,2,0,0,1,1,1,6,5,1,1,0,0,2,7,0
02ef8778,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0
032f894e,2,1,1,1,0,0,3,3,2,0,2,4,6,1,0
0331786b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03998238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03df04ff,0,0,0,0,0,0,1,1,0,0,0,2,2,6,0
042e8a49,7,2,2,2,3,2,11,9,8,0,8,0,7,1,0
048a1cbc,6,3,4,2,0,0,2,2,4,0,4,10,16,6,0
04989945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04ac8285,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
05439de2,7,6,6,1,0,4,5,1,5,3,2,6,13,17,3
05d548d8,18,12,13,5,0,12,20,8,9,5,4,30,48,32,2
0638becf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
070ec0b1,14,6,11,2,1,5,11,6,8,1,7,19,33,18,0
07a821e4,3,1,1,2,0,2,4,2,0,0,0,2,5,0,0
08511d65,3,2,3,0,0,3,6,3,6,5,1,10,13,17,1
089550f5,3,1,1,1,1,1,4,3,5,0,5,1,4,2,0
0959c2a2,8,5,2,3,3,3,15,12,8,1,7,7,15,3,0
0a6dbbf7,11,6,8,2,1,5,6,1,8,3,5,9,20,20,0
0ab1f153,8,3,5,2,1,1,11,10,5,0,5,11,19,10,0
0ac94a23,3,1,0,2,1,1,9,8,2,0,2,1,4,1,0
0b5a292a,17,9,10,3,4,9,22,13,6,1,5,11,28,17,0
0ba976e4,2,0,1,0,1,2,6,4,0,0,0,1,3,0,0
0bc4e720,2,2,0,2,0,2,2,0,3,0,3,0,2,2,0
0c3f7197,1,1,1,0,0,0,4,4,2,0,2,2,3,0,0
0cb29e91,8,5,5,3,0,4,11,7,9,1,8,2,10,2,0
0d10333c,16,10,7,9,0,7,21,14,6,2,4,16,32,10,0
0d267745,18,9,8,10,0,10,15,5,2,2,0,5,23,14,0
0d82903c,10,6,6,4,0,2,7,5,5,2,3,10,20,9,0
0da6a13e,5,1,1,4,0,1,4,3,1,0,1,0,5,3,0
0dce3356,11,7,9,2,0,8,16,8,7,1,6,2,13,13,0
0e21fc3c,3,2,1,2,0,0,1,1,2,1,1,2,5,2,2
0e6bc38c,2,1,1,1,0,0,2,2,0,0,0,1,3,1,0
0ef89a37,6,3,0,1,5,2,12,10,6,0,6,1,7,0,0
10072610,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101da2b5,11,10,5,4,2,7,9,2,7,4,3,15,26,12,0
10549b49,3,1,1,2,0,0,6,6,2,2,0,3,6,5,0
108fe016,1,1,0,1,0,0,0,0,0,0,0,2,3,0,0
10b9fa99,4,1,4,0,0,2,4,2,3,2,1,4,8,10,0
10efd0e1,10,7,3,5,2,1,10,9,4,1,3,2,12,4,0
10fe831e,7,6,3,2,2,3,16,13,7,5,2,15,22,12,0
119b9a8e,2,0,1,1,0,2,3,1,2,1,1,4,6,5,0
121101a4,17,13,12,4,1,4,6,2,7,4,3,11,28,24,1
1265a93a,7,5,5,2,0,6,13,7,6,2,4,5,12,11,0
129af0db,5,5,1,2,2,2,4,2,7,1,6,4,9,2,0
133faa84,14,8,10,4,0,7,9,2,4,1,3,10,24,25,1
13b44b02,13,5,7,4,2,4,10,6,6,0,6,4,17,10,0
13ea2544,8,5,4,3,1,5,11,6,5,2,3,5,13,4,0
1467af0d,22,12,14,7,1,7,20,13,7,1,6,4,26,5,0
14b8fcdf,3,2,1,1,1,0,3,3,2,2,0,1,4,16,0
15f3ec41,1,1,1,0,0,0,2,2,1,0,1,2,3,0,1
169fd162,3,2,0,2,1,0,1,1,1,0,1,1,4,1,0
16b9d5cf,6,5,4,2,0,2,3,1,4,2,2,6,12,11,0
16ceb862,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0
179d2851,1,1,1,0,0,1,2,1,2,0,2,0,1,4,0
1840e36d,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1
18b896d6,2,1,2,0,0,1,2,1,1,0,1,2,4,7,0
1931bde9,11,5,2,5,4,3,10,7,1,0,1,1,12,1,0
197640fd,3,1,0,3,0,2,7,5,10,2,8,1,4,5,0
199cd404,2,0,0,2,0,0,1,1,0,0,0,0,2,1,0
19cda00b,9,7,4,3,2,3,18,15,11,0,11,4,13,7,0
19e4dca5,0,0,0,0,0,0,1,1,1,1,0,2,2,9,0
1a2935f6,3,2,0,3,0,2,2,0,3,2,1,2,5,7,1
1a799243,19,12,10,7,2,13,18,5,5,0,5,6,25,6,0
1a992676,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1adcf39e,7,3,6,1,0,5,13,8,2,1,1,15,22,36,0
1bacc518,16,10,7,6,3,5,20,15,6,1,5,12,28,5,0
1bf33a9a,5,3,3,1,1,3,6,3,1,0,1,0,5,2,0
1c07b06e,5,3,0,4,1,1,7,6,5,4,1,9,14,6,0
