id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
32c2d95f,Yunis Abdelhamid,ma MAR,DF,Reims,35-172,1987,27.0,65,39,37,27,1,32,40,80.0,8,55,20,35,49,114,98,1,Matches
7978cbf0,Himad Abdelli,fr FRA,"MF,FW",Angers,23-122,1999,14.0,40,21,14,20,6,19,33,57.6,14,18,1,17,15,55,9,0,Matches
82464ce3,Salis Abdul Samed,gh GHA,MF,Lens,22-358,2000,26.0,39,22,15,20,4,22,39,56.4,17,30,7,23,25,64,17,0,Matches
31626657,Laurent Abergel,fr FRA,MF,Lorient,30-046,1993,16.2,67,39,44,21,2,24,54,44.4,30,23,5,18,18,85,22,0,Matches
0e46fa2f,Matthis Abline,fr FRA,FW,Auxerre,19-356,2003,5.7,3,1,0,2,1,0,5,0.0,5,5,1,4,1,4,1,0,Matches
0e46fa2f,Matthis Abline,fr FRA,"FW,MF",Rennes,19-356,2003,1.2,1,1,0,0,1,1,1,100.0,0,1,0,1,2,3,1,0,Matches
c2a6033c,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,23-029,2000,22.2,26,19,11,6,9,9,35,25.7,26,14,1,13,19,45,18,0,Matches
1e93fc5d,Mohamed Achi,fr FRA,FW,Nantes,21-062,2002,0.4,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
7587446d,Martin Adeline,fr FRA,"MF,FW",Reims,19-107,2003,1.2,3,3,2,1,0,3,4,75.0,1,3,1,2,3,6,3,0,Matches
75f1ed80,Emmanuel Agbadou,ci CIV,DF,Reims,25-275,1997,18.8,48,30,37,10,1,29,42,69.0,13,22,9,13,23,71,78,2,Matches
8bc8829a,Lucien Agoume,fr FRA,MF,Troyes,21-038,2002,6.2,23,11,10,7,6,10,14,71.4,4,5,1,4,15,38,14,0,Matches
3dd738a1,Ruben Aguilar,fr FRA,DF,Monaco,29-327,1993,8.6,15,6,7,3,5,6,15,40.0,9,5,0,5,13,28,22,0,Matches
22396615,Amar Ahmed,se SWE,FW,Troyes,19-028,2004,0.2,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0,Matches
48b28bfd,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,28-364,1994,11.0,23,16,8,12,3,8,22,36.4,14,16,0,16,19,42,8,0,Matches
462475ed,Ludovic Ajorque,fr FRA,FW,Strasbourg,29-022,1994,8.6,5,4,1,4,0,3,9,33.3,6,3,1,2,2,7,7,0,Matches
b625b241,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,21-022,2002,3.4,6,3,3,3,0,1,5,20.0,4,2,0,2,3,9,2,0,Matches
9e17ccff,Doğan Alemdar,tr TUR,GK,Rennes,20-141,2002,2.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
1956b948,Jim Allevinah,ga GAB,"DF,FW",Clermont Foot,28-020,1995,17.4,33,21,18,11,4,16,47,34.0,31,21,1,20,12,45,13,0,Matches
0a63446f,Mickaël Alphonse,gp GLP,DF,Ajaccio,33-250,1989,11.6,27,18,16,7,4,18,26,69.2,8,13,3,10,26,53,32,1,Matches
9260926b,Ibrahim Amadou,fr FRA,"DF,MF",Angers,29-347,1993,4.7,10,7,6,3,1,7,10,70.0,3,7,3,4,10,20,20,0,Matches
ae11ba3d,Ayoub Amraoui,fr FRA,DF,Nice,18-309,2004,2.1,3,2,2,1,0,2,5,40.0,3,1,0,1,4,7,4,0,Matches
ef9c1c95,Benjamin André,fr FRA,MF,Lille,32-228,1990,24.5,96,52,36,48,12,50,98,51.0,48,43,7,36,31,127,48,0,Matches
af3ddb2e,Komnen Andrić,rs SRB,FW,Clermont Foot,27-261,1995,15.2,13,5,2,7,4,2,14,14.3,12,7,1,6,8,21,11,0,Matches
a5db0bec,Houssem Aouar,fr FRA,MF,Lyon,24-262,1998,4.9,9,4,3,4,2,3,5,60.0,2,10,1,9,6,15,3,0,Matches
b94b8be1,Adil Aouchiche,fr FRA,"MF,FW",Lorient,20-247,2002,1.1,2,0,1,0,1,0,3,0.0,3,1,0,1,1,3,0,0,Matches
feb5d3ab,Dennis Appiah,fr FRA,"DF,MF",Nantes,30-283,1992,8.8,21,11,14,7,0,10,27,37.0,17,13,5,8,10,31,16,0,Matches
42f0113f,Stredair Appuah,fr FRA,MF,Nantes,18-265,2004,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
c5e6c017,Taïryk Arconte,fr FRA,FW,Brest,19-127,2003,1.4,1,1,0,0,1,0,3,0.0,3,1,0,1,0,1,2,0,Matches
508a9011,Mohamed El Arouch,fr FRA,MF,Lyon,18-347,2004,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
b026bbf6,Lorenz Assignon,tg TOG,DF,Rennes,22-270,2000,2.2,6,2,4,2,0,2,4,50.0,2,4,0,4,2,8,3,0,Matches
6a827d8e,Youcef Atal,dz ALG,"DF,MF",Nice,26-306,1996,7.1,34,19,16,14,4,21,27,77.8,6,6,0,6,11,45,11,0,Matches
