id,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
7f9c5d2d,Abner,br BRA,DF,Betis,22,2000,6.7,351,275,75,1,0,2,13,74,0,0,0,0,252,1,15,Matches
be6faae0,Álvaro Aceves,es ESP,GK,Valladolid,19,2003,0.1,8,7,1,0,0,0,0,0,0,0,0,0,7,0,0,Matches
81442ecb,Marcos Acuña,ar ARG,DF,Sevilla,30,1991,21.2,1307,1048,257,49,3,14,147,174,34,7,22,0,970,2,25,Matches
a2c1a8d3,Julen Agirrezabala,es ESP,GK,Athletic Club,21,2000,7.5,241,169,72,10,0,0,0,0,0,0,0,0,171,0,0,Matches
014aa7bd,Álvaro Aguado,es ESP,MF,Valladolid,26,1996,21.0,1142,1040,95,50,3,39,57,5,35,3,24,0,930,7,17,Matches
18abe173,Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,34.7,1766,1710,51,42,0,5,2,8,0,0,0,0,1525,5,13,Matches
06efa9dc,Sergio Akieme,es ESP,DF,Almería,24,1997,25.5,1061,824,230,25,3,13,70,205,0,0,0,0,821,7,20,Matches
733aab44,Babatunde Akinsola,ng NGA,FW,Valladolid,19,2003,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
31f5b89b,Paul Akouokou,ci CIV,"MF,DF",Betis,24,1997,5.0,174,168,4,2,1,2,0,2,0,0,0,0,160,2,3,Matches
05439de2,David Alaba,at AUT,DF,Real Madrid,30,1992,20.4,1189,1082,98,45,4,3,26,46,3,3,0,0,1042,9,11,Matches
455c26a4,Ángel Alarcón,es ESP,FW,Barcelona,18,2004,0.3,,,,,,,1,,,,,,,,,Matches
99ea2ddd,Tomás Alarcón,cl CHI,MF,Cádiz,23,1999,2.5,95,88,7,5,1,3,6,0,2,1,1,0,78,0,0,Matches
4601e194,Jordi Alba,es ESP,DF,Barcelona,33,1989,15.8,1460,1277,178,40,4,8,91,137,1,0,0,0,1217,5,24,Matches
4bd414c1,Raúl Albiol,es ESP,DF,Villarreal,36,1985,23.5,1472,1428,42,34,0,15,1,0,0,0,0,0,1303,2,7,Matches
036bba5f,Rubén Alcaraz,es ESP,MF,Cádiz,31,1991,22.7,1046,978,63,44,6,27,44,0,15,9,2,2,827,5,17,Matches
bb08bce9,Omar Alderete,py PAR,DF,Getafe,25,1996,22.7,877,826,37,30,1,25,7,7,0,0,0,0,509,14,13,Matches
3d7e48ce,Iván Alejo,es ESP,"MF,FW",Cádiz,27,1995,14.6,392,365,25,5,1,0,108,13,7,2,4,0,219,2,26,Matches
6c811eb7,Carles Aleñá,es ESP,"MF,FW",Getafe,24,1998,23.5,809,782,21,8,3,10,43,2,9,5,4,0,607,6,18,Matches
b907d169,Alejandro Alfaro,es ESP,MF,Elche,20,2002,0.2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
acc1aefa,Ángel Algobia,es ESP,MF,Getafe,23,1999,12.6,521,502,17,15,0,5,11,0,1,1,0,0,420,2,8,Matches
f8405304,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,18,2004,6.5,165,158,6,0,0,0,30,0,2,1,1,0,108,1,6,Matches
e6697917,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,22,2000,28.2,1402,1226,164,72,7,12,127,13,63,22,17,0,1110,12,18,Matches
f4290206,Marcos Alonso,es ESP,DF,Barcelona,31,1990,13.0,1005,956,47,16,1,11,23,16,12,6,4,0,896,2,8,Matches
629081bd,Carlos Álvarez,es ESP,FW,Sevilla,18,2003,0.1,,,,,,,0,,,,,,,,,Matches
852ddfb8,Gastón Álvarez,uy URU,DF,Getafe,22,2000,16.7,579,431,147,6,0,2,23,141,0,0,0,0,350,1,16,Matches
3ecc11d8,Yeray Álvarez,es ESP,DF,Athletic Club,27,1995,25.9,1392,1308,80,72,5,35,9,2,0,0,0,0,1123,4,12,Matches
00eba9c9,Selim Amallah,ma MAR,"MF,FW",Valladolid,25,1996,3.0,83,80,3,0,0,1,2,2,0,0,0,0,63,0,1,Matches
f3b1d9a2,Amath,sn SEN,"MF,FW",Mallorca,26,1996,13.6,299,278,20,1,1,1,16,8,0,0,0,0,215,1,16,Matches
22721b88,Jordan Amavi,fr FRA,DF,Getafe,28,1994,2.2,96,69,27,1,0,0,6,26,0,0,0,0,51,0,5,Matches
fdd26d71,Fabrizio Angileri,ar ARG,DF,Getafe,28,1994,6.5,260,190,70,3,0,2,12,67,0,0,0,0,153,0,13,Matches
4a5f2032,Josep Antoni Gayá,es ESP,"DF,MF",Mallorca,22,2000,1.1,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
62a583ee,José Antonio,es ESP,"MF,DF",Cádiz,18,2004,0.5,10,9,1,1,0,0,1,0,0,0,0,0,8,0,1,Matches
c93231dc,Anuar,ma MAR,"MF,FW",Valladolid,27,1995,2.3,40,39,1,0,0,0,1,1,0,0,0,0,30,0,4,Matches
58afe001,Mauro Arambarri,uy URU,MF,Getafe,26,1995,11.0,421,355,66,44,0,6,42,0,22,14,7,1,326,0,7,Matches
2bef2bca,Ronald Araújo,uy URU,DF,Barcelona,23,1999,20.0,1287,1207,75,41,2,19,5,25,0,0,0,0,1139,5,6,Matches
1e465e70,Sergio Arribas,es ESP,"MF,FW",Real Madrid,20,2001,0.2,11,9,2,0,0,0,1,0,2,1,0,0,9,0,0,Matches
6091cf45,Roberto Arroyo,es ESP,MF,Valladolid,18,2003,0.2,5,5,0,0,0,1,1,0,0,0,0,0,0,0,2,Matches
5d133e96,Ricard Artero,es ESP,"MF,FW",Girona,19,2003,1.5,47,47,0,0,0,0,0,0,0,0,0,0,37,0,3,Matches
759d8dd7,Santiago Arzamendia,py PAR,"DF,MF",Cádiz,24,1998,5.4,226,188,35,7,0,3,14,26,2,1,1,0,150,3,16,Matches
9f0ea33f,Sergio Asenjo,es ESP,GK,Valladolid,33,1989,10.0,353,234,118,26,0,2,0,0,0,0,0,0,233,1,1,Matches
45af8a54,Marco Asensio,es ESP,"FW,MF",Real Madrid,26,1996,16.0,802,722,76,18,5,7,82,8,48,25,7,0,650,4,28,Matches
7dcf86f6,Iago Aspas,es ESP,FW,Celta Vigo,34,1987,31.9,1227,1146,75,23,15,15,45,11,23,8,6,0,936,6,33,Matches
d5dd5f1f,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,33,1989,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
9fec8860,Ludwig Augustinsson,se SWE,DF,Mallorca,28,1994,1.5,70,60,10,0,0,0,6,10,0,0,0,0,49,0,0,Matches
253a06b9,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,28,1994,19.0,526,478,43,10,2,24,81,8,15,6,7,0,287,5,21,Matches
